date,description,amount,type,category,balance
2024-03-04,Coffee Shop,-13.00,debit,Dining,9073.19
2024-03-05,Netflix Subscription,-15.99,debit,Entertainment,9057.20
2024-03-06,Electric Bill,-98.00,debit,Utilities,8959.20
2024-03-07,Gas Station,-52.00,debit,Transport,8907.20
2024-03-08,Restaurant,-68.00,debit,Dining,8839.20
2024-03-09,Online Shopping,-95.00,debit,Shopping,8744.20
2024-03-10,Pharmacy,-42.00,debit,Health,8702.20
2024-03-11,Gym Membership,-50.00,debit,Health,8652.20
2024-03-12,Grocery Store,-82.00,debit,Groceries,8570.20
2024-03-13,Streaming Service,-9.99,debit,Entertainment,8560.21
2024-03-14,Coffee Shop,-10.00,debit,Dining,8550.21
2024-03-15,Online Transfer,-300.00,debit,Savings,8250.21
2024-03-16,Gas Station,-47.00,debit,Transport,8203.21
2024-03-17,Grocery Store,-76.00,debit,Groceries,8127.21
2024-03-18,Internet Bill,-60.00,debit,Utilities,8067.21
2024-03-19,Fast Food,-19.50,debit,Dining,8047.71
2024-03-20,Online Shopping,-130.00,debit,Shopping,7917.71
2024-03-21,Restaurant,-58.00,debit,Dining,7859.71
2024-03-22,Coffee Shop,-14.00,debit,Dining,7845.71
2024-03-23,Grocery Store,-99.00,debit,Groceries,7746.71
2024-03-24,Bar/Drinks,-60.00,debit,Entertainment,7686.71
2024-03-25,Freelance Income,1000.00,credit,Income,8686.71
2024-03-26,Gas Station,-44.00,debit,Transport,8642.71
2024-03-27,Restaurant,-75.00,debit,Dining,8567.71
2024-03-28,Online Shopping,-220.00,debit,Shopping,8347.71
2024-03-29,Coffee Shop,-12.00,debit,Dining,8335.71
2024-03-30,Grocery Store,-88.00,debit,Groceries,8247.71
2024-03-31,Impulse Purchase,-180.00,debit,Shopping,8067.71
